order_id,customer_id,amount,quantity,category,city,country,order_date
1,205,56.93,1,Clothing,Chicago,USA,2023-09-15
2,174,17.05,1,Electronics,Toronto,Canada,2023-02-26
3,378,122.08,3,Home,NYC,USA,2023-11-18
4,39,64.5,2,Books,Manchester,UK,2023-11-29
5,56,114.02,3,Books,Toronto,Canada,2023-06-12
6,306,29.78,1,Books,Munich,Germany,2023-09-07
7,305,27.0,1,Electronics,NYC,USA,2023-05-01
8,221,139.77,2,Clothing,LA,USA,2023-07-02
9,42,115.44,3,Books,Lyon,France,2023-12-31
10,369,145.23,1,Home,Berlin,Germany,2023-06-30
11,279,77.35,2,Electronics,Paris,France,2023-02-22
12,48,62.5,1,Books,Chicago,USA,2023-01-12
13,108,49.92,1,Books,Munich,Germany,2023-03-13
14,164,106.77,3,Electronics,Berlin,Germany,2023-11-27
15,473,70.8,1,Electronics,LA,USA,2023-09-22
16,144,61.49,1,Home,NYC,USA,2023-12-28
17,55,31.1,2,Electronics,Manchester,UK,2023-05-19
18,265,40.35,2,Home,LA,USA,2023-12-26
19,460,82.99,1,Clothing,Vancouver,Canada,2023-01-30
20,281,64.83,1,Books,Chicago,USA,2023-05-02
21,213,129.12,1,Clothing,NYC,USA,2023-01-21
22,114,49.8,1,Clothing,NYC,USA,2023-03-06
23,128,57.74,2,Clothing,Munich,Germany,2023-10-21
24,11,95.25,1,Clothing,Lyon,France,2023-06-11
25,192,93.62,2,Electronics,Paris,France,2023-08-05
26,452,51.23,2,Books,NYC,USA,2023-09-22
27,99,9.78,2,Clothing,LA,USA,2023-10-09
28,180,18.47,3,Books,LA,USA,2023-01-07
29,163,57.37,2,Home,London,UK,2023-03-22
30,356,142.9,1,Electronics,NYC,USA,2023-01-16
31,433,18.0,1,Home,NYC,USA,2023-07-27
32,463,98.17,1,Home,Manchester,UK,2023-12-14
33,255,59.72,2,Home,Toronto,Canada,2023-03-11
34,276,47.38,3,Books,LA,USA,2023-06-02
35,320,35.82,1,Books,LA,USA,2023-03-08
36,425,93.32,1,Home,NYC,USA,2023-09-25
37,12,64.78,1,Home,LA,USA,2023-07-10
38,368,35.54,1,Home,Chicago,USA,2023-03-30
39,295,82.71,1,Home,Vancouver,Canada,2023-07-17
40,76,5.0,1,Electronics,Paris,France,2023-06-23
41,378,109.6,2,Clothing,Chicago,USA,2023-04-26
42,422,75.21,1,Electronics,LA,USA,2023-11-20
43,345,49.51,1,Electronics,Toronto,Canada,2023-07-17
44,144,53.04,2,Clothing,NYC,USA,2023-04-13
45,213,157.49,3,Electronics,NYC,USA,2023-05-31
46,7,112.14,2,Home,Toronto,Canada,2023-05-18
47,424,93.52,3,Clothing,Manchester,UK,2023-11-08
48,211,83.1,3,Electronics,Chicago,USA,2023-08-08
49,124,74.8,1,Home,Munich,Germany,2023-12-25
50,491,99.78,3,Electronics,Munich,Germany,2023-05-03
51,46,46.06,3,Clothing,Lyon,France,2023-01-02
52,240,119.9,1,Home,Lyon,France,2023-04-08
53,395,106.01,3,Clothing,Vancouver,Canada,2023-12-27
54,486,63.2,1,Clothing,Toronto,Canada,2023-04-13
55,207,61.38,3,Electronics,Chicago,USA,2023-09-15
56,151,49.23,2,Books,Berlin,Germany,2023-03-08
57,254,78.06,2,Books,Chicago,USA,2023-06-17
58,234,8.68,2,Electronics,Berlin,Germany,2023-11-25
59,215,70.76,3,Electronics,Berlin,Germany,2023-09-05
60,374,127.44,2,Books,Paris,France,2023-09-17
61,208,33.81,2,Clothing,Manchester,UK,2023-10-29
62,267,64.46,1,Home,LA,USA,2023-04-07
63,130,5.0,1,Electronics,London,UK,2023-05-09
64,140,21.07,2,Clothing,LA,USA,2023-04-30
65,164,120.08,3,Home,Berlin,Germany,2023-05-09
66,465,112.46,2,Books,Toronto,Canada,2023-10-07
67,367,72.14,2,Home,Chicago,USA,2023-10-06
68,155,77.78,4,Books,NYC,USA,2023-02-04
69,139,80.36,1,Books,LA,USA,2023-07-09
70,429,38.17,2,Electronics,LA,USA,2023-06-13
71,232,72.09,2,Electronics,NYC,USA,2023-11-11
72,447,88.73,2,Clothing,LA,USA,2023-04-04
73,188,87.86,1,Clothing,Manchester,UK,2023-06-26
74,412,146.32,2,Home,Manchester,UK,2023-11-02
75,84,75.93,2,Clothing,Toronto,Canada,2023-04-26
76,132,137.07,3,Books,Berlin,Germany,2023-01-22
77,169,144.45,3,Electronics,Manchester,UK,2023-01-26
78,332,83.84,3,Electronics,Toronto,Canada,2023-04-28
79,61,72.89,1,Electronics,Manchester,UK,2023-09-21
80,500,90.39,2,Home,Vancouver,Canada,2023-02-02
81,450,5.0,1,Clothing,NYC,USA,2023-09-07
82,227,38.84,2,Electronics,London,UK,2023-09-15
83,307,74.36,4,Books,NYC,USA,2023-06-12
84,48,12.52,2,Electronics,Chicago,USA,2023-04-27
85,470,143.73,2,Clothing,Berlin,Germany,2023-07-18
86,128,46.63,1,Books,Berlin,Germany,2023-05-22
87,123,102.05,3,Clothing,LA,USA,2023-04-07
